guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Dandy,,Dandy 50-50 Ice Cream 100ml,Ice Cream,active,dandy-50-50-ice-cream-100ml-2
Dandy,,DANDY 50-50 Ice Cream 100ml,Ice Cream,active,dandy-50-50-ice-cream-100ml
Dandy,,Dandy Almond Delight Ice Cream 100ml,Ice Cream,active,dandy-almond-delight-ice-cream-100ml-2
Dandy,,DANDY Almond Delight Ice Cream 100ml,Ice Cream,active,dandy-almond-delight-ice-cream-100ml
Dandy,,DANDY Bonbon Ice Cream Tub 238ml,Ice Cream,active,dandy-bonbon-ice-cream-tub-238ml
Dandy,,Dandy Choco Bar Ice Cream 60ml,Ice Cream,draft,dandy-choco-bar-ice-cream-60ml
Dandy,,Dandy Choco Nuts Ice Cream 85ml,Ice Cream,draft,dandy-choco-nuts-ice-cream-85ml
Dandy,,DANDY Ice Cream Sandwich 100ml,Ice Cream,active,dandy-ice-cream-sandwich-100ml
Dandy,,DANDY Peanut Delight Ice Cream 100ml,Ice Cream,draft,dandy-peanut-delight-ice-cream-100ml-2
Dandy,,Dandy Peanut Delight Ice Cream 100ml,Ice Cream,active,dandy-peanut-delight-ice-cream-100ml
Dandy,,Dandy Sandwich Ice Cream 100ml,Ice Cream,active,dandy-sandwich-ice-cream-100ml
Dandy,,Dandy Stack Up Ice Cream 80ml,Ice Cream,draft,dandy-stack-up-ice-cream-80ml
Dandy,,Dandy Swirly Ice Cream 80ml,Ice Cream,active,dandy-swirly-ice-cream-80ml
Dandy,,Dandy Trio Ice Cream 80ml,Ice Cream,active,dandy-trio-ice-cream-80ml
Date,,Date & Almond Bar Granio Milk Chocolate 40 GM,Chocolates,active,date-almond-bar-granio-milk-chocolate-40-gm
Delisimo,,Delisimo Hazelnut Plombir Ice Cream 500g,Ice Cream,draft,delisimo-hazelnut-plombir-ice-cream-500g
Diploko,,Diploko Roll 18 g,Candy,active,diploko-roll-18-g
Donut,,Donut Strawberry Ice Cream 85ml,Ice Cream,active,donut-strawberry-ice-cream-85ml
Doritos,,DORITOS Dinamita Flamin’ Hot 40g,Chips & Crisps,active,doritos-dinamita-flamin-hot-40g
Doritos,,DORITOS Flamin’ Hot 50g,Chips & Crisps,active,doritos-flamin-hot-50g
Doritos,,DORITOS Nacho Cheese,Chips & Crisps,active,doritos-nacho-cheese
Doritos,,DORITOS Nacho Cheese 175g,Chips & Crisps,active,doritos-nacho-cheese-175g
Doritos,,Doritos Spicy Sweet Chili Flavored 92.1g,Chips & Crisps,active,doritos-spicy-sweet-chili-flavored-92-1g
Doritos,,Doritos Spicy Sweet Chili Flavoured,Chips & Crisps,active,doritos-spicy-sweet-chili-flavoured
Doritos,,DORITOS Sweet Chili Pepper,Chips & Crisps,active,doritos-sweet-chili-pepper
Doritos,,DORITOS Sweet Chili Pepper 105g,Chips & Crisps,active,doritos-sweet-chili-pepper-105g
Doritos,,DORITOS Sweet Chili Pepper 175g,Chips & Crisps,active,doritos-sweet-chili-pepper-175g
Doritos,,DORITOS Sweet Chili Pepper 48g,Chips & Crisps,active,doritos-sweet-chili-pepper-48g
Double,,Double Cola 250ml,Carbonated Soft Drinks,active,double-cola-250ml
Double,,Double Dares Jelly Bean Game Cup,Candy,active,double-dares-jelly-bean-game-cup
Double,,Double Up Cola 1 Litre,Carbonated Soft Drinks,active,double-up-cola-1-litre
Double,,Double Up Cola 200 ml,Carbonated Soft Drinks,active,double-up-cola-200-ml
Double,,Double Up Fresh Breeze Mojito 350ml,Carbonated Soft Drinks,active,double-up-fresh-breeze-mojito-350ml
Double,,Double Up Fresh Breeze Red Apple 350ml,Carbonated Soft Drinks,active,double-up-fresh-breeze-red-apple-350ml
Double,,Double Up Lemon 200 ml,Carbonated Soft Drinks,active,double-up-lemon-200-ml
Double,,Double Up Orange 1 Litre,Carbonated Soft Drinks,active,double-up-orange-1-litre
Double,,Double Up Orange 200 ml,Carbonated Soft Drinks,active,double-up-orange-200-ml
Double,,Double Up Red Berries 200 ml,Carbonated Soft Drinks,active,double-up-red-berries-200-ml
Double,,Double Up Soda Water 500 ml,Carbonated Soft Drinks,active,double-up-soda-water-500-ml
Dr,,Dr Puffs Hot Cheese 18g,Chips & Crisps,active,dr-puffs-hot-cheese-18g
Dragos,,Dragos Cheddar Cheese Flavour 25g,Chips & Crisps,active,dragos-cheddar-cheese-flavour-25g
Dragos,,Dragos Flamin’ Lime Flavour 25g,Chips & Crisps,active,dragos-flamin-lime-flavour-25g
Dubai,,Dubai Chocolate Pistachio with Kunafa 27g,Chocolates,active,dubai-chocolate-pistachio-with-kunafa-27g
Duet,,Duet Mango & Vanilla Ice Cream 65ml,Ice Cream,active,duet-mango-vanilla-ice-cream-65ml
Duet,,Duet Raspberry & Vanilla Ice Cream 65ml,Ice Cream,active,duet-raspberry-vanilla-ice-cream-65ml
Erko,,Erko Mallow Plus Fat-Free Ice Cream 100g,Candy,active,erko-mallow-plus-fat-free-ice-cream-100g
Erko,,Erko Mallow World 120g,Candy,active,erko-mallow-world-120g
Erko,,Erko Mallow World Pink & White Mallow 150g,Candy,active,erko-mallow-world-pink-white-mallow-150g
Evervess,,Evervess Club Soda 330ml,Water,active,evervess-club-soda-330ml
Exira,,Exira Strawberry Wafer 32 g,Chocolates,active,exira-strawberry-wafer-32-g
Extra,,Extra Blueberry Flavour 60 pcs,Gums,active,extra-blueberry-flavour-60-pcs
Extra,,Extra Bubblemint Flavour 60 pcs,Gums,active,extra-bubblemint-flavour-60-pcs
Extra,,Extra Bubblemint Flavour Chewing Gum 14g,Gums,active,extra-bubblemint-flavour-chewing-gum-14g
Extra,,Extra Fizz 7UP Zero Sugar 330ml,Carbonated Soft Drinks,active,extra-fizz-7up-zero-sugar-330ml
Extra,,Extra Mega Peppermint Chewing Gum 23 Cubes,Gums,active,extra-mega-peppermint-chewing-gum-23-cubes
Extra,,Extra Mega Spearmint Chewing Gum 23 Cubes,Gums,active,extra-mega-spearmint-chewing-gum-23-cubes
Extra,,Extra Peppermint Flavour Chewing Gum 14g,Gums,active,extra-peppermint-flavour-chewing-gum-14g
Extra,,Extra Peppermint Flavour Sugar Free 60 pcs,Gums,active,extra-peppermint-flavour-sugar-free-60-pcs
Extra,,Extra Refreshers Bubblemint Flavour Sugar Free 30 pcs,Gums,active,extra-refreshers-bubblemint-flavour-sugar-free-30-pcs
Extra,,Extra Refreshers Spearmint Flavour Sugar Free 30 pcs,Gums,active,extra-refreshers-spearmint-flavour-sugar-free-30-pcs
Extra,,Extra Refreshers Spearmint – 15.6 g,Gums,active,extra-refreshers-spearmint-15-6-g
Extra,,Extra Refreshers Strawberry Citrus Sugar Free 30 pcs,Gums,active,extra-refreshers-strawberry-citrus-sugar-free-30-pcs
Extra,,Extra Refreshers Tropical Flavour Sugar Free 30 pcs,Gums,active,extra-refreshers-tropical-flavour-sugar-free-30-pcs
Extra,,Extra Refreshers Watermelon Raspberry Flavour Sugar Free 30 pcs,Gums,active,extra-refreshers-watermelon-raspberry-flavour-sugar-free-30-pcs
Extra,,Extra Spearmint Flavour 60 pcs,Gums,active,extra-spearmint-flavour-60-pcs
Extra,,Extra Spearmint Flavour Chewing Gum 14g,Gums,active,extra-spearmint-flavour-chewing-gum-14g
Extra,,Extra Strawberry Flavour 60 pcs,Gums,active,extra-strawberry-flavour-60-pcs
Extra,,Extra Strawberry Flavour Chewing Gum 14g,Gums,active,extra-strawberry-flavour-chewing-gum-14g
Extra,,Extra Watermelon Flavour 60 pcs,Gums,active,extra-watermelon-flavour-60-pcs
Extra,,Extra Watermelon Flavour Chewing Gum 14g,Gums,active,extra-watermelon-flavour-chewing-gum-14g
Fanta,,Fanta Citrus 330ml,Carbonated Soft Drinks,active,fanta-citrus-330ml
Fanta,,Fanta Orange 330ml,Carbonated Soft Drinks,active,fanta-orange-330ml
Fanta,,Fanta Strawberry 330ml,Carbonated Soft Drinks,active,fanta-strawberry-330ml
Feloudeh,,Feloudeh Lemon Water Ice 70ml,Ice Cream,active,feloudeh-lemon-water-ice-70ml
Ferrero,,Ferrero Rocher 37.5 GM,Chocolates,active,ferrero-rocher-37-5-gm
Ferrero,,Ferrero Rocher Classic Ice Cream 50g,Ice Cream,active,ferrero-rocher-classic-ice-cream-50g
Fizzy,,Fizzy Tubes Sour Fizz Powder 15 g,Candy,active,fizzy-tubes-sour-fizz-powder-15-g
Fizzy,,Fizzy Vimto Blue Raspberry 250ml,Carbonated Soft Drinks,active,fizzy-vimto-blue-raspberry-250ml
Flake,,Flake 32 GM,Chocolates,active,flake-32-gm
Flash,,Flash Carbonated Soft Drink 250ml,Carbonated Soft Drinks,active,flash-carbonated-soft-drink-250ml
Fonnzies,,Fonnzies BBQ Curry Best Flavoured Corn Snacks 24g,Chips & Crisps,active,fonnzies-bbq-curry-best-flavoured-corn-snacks-24g
Fonnzies,,Fonnzies Chickenator Flavoured Corn Snacks 24g,Chips & Crisps,active,fonnzies-chickenator-flavoured-corn-snacks-24g
Fonzies,,Fonzies Original Cheese Flavoured Corn Snacks 24g,Chips & Crisps,active,fonzies-original-cheese-flavoured-corn-snacks-24g
Forno,,FORNO Authentic Cheese 40g,Chips & Crisps,active,forno-authentic-cheese-40g
Freez,,Freez Mix Blue Hawaii Tropical Fruit Carbonated Drink 275ml,Carbonated Soft Drinks,active,freez-mix-blue-hawaii-tropical-fruit-carbonated-drink-275ml
Freez,,Freez Mix Carbonated Flavored Drink Lychee 275ml,Carbonated Soft Drinks,active,freez-mix-carbonated-flavored-drink-lychee-275ml
Freez,,Freez Mix Carbonated Flavored Drink Pomegranate Mix 275ml,Carbonated Soft Drinks,active,freez-mix-carbonated-flavored-drink-pomegranate-mix-275ml
Freez,,Freez Mix Lemon & Mint Carbonated Drink 275ml,Carbonated Soft Drinks,active,freez-mix-lemon-mint-carbonated-drink-275ml
Freez,,Freez Mix Pineapple & Coconut Carbonated Drink 275ml,Carbonated Soft Drinks,draft,freez-mix-pineapple-coconut-carbonated-drink-275ml
Freez,,Freez Mix Strawberry Carbonated Drink 275ml,Carbonated Soft Drinks,active,freez-mix-strawberry-carbonated-drink-275ml
Frit-C,,Frit-C Belts Strawberry 20g,Candy,active,frit-c-belts-strawberry-20g
Frit-C,,Frit-C Extreme Z Apple 20g,Candy,active,frit-c-extreme-z-apple-20g
Frit-C,,Frit-C Extreme Z Cola 20g,Candy,active,frit-c-extreme-z-cola-20g
Frit-C,,Frit-C Extreme Z Strawberry 20g,Candy,active,frit-c-extreme-z-strawberry-20g
Fruit,,Fruit Roll Strawberry Flavour 12g,Candy,active,fruit-roll-strawberry-flavour-12g
Fruitoo,,Fruitoo Original Taste Berries Mixed Flavour 1 Litre,Juices & Fruit Drinks,active,fruitoo-original-taste-berries-mixed-flavour-1-litre
Fruits,,fruits Roll Grape Flavour 12 g,Candy,active,fruits-roll-grape-flavour-12-g
Fruittella,,Fruittella Mixed Fruit Chewy Sweets Gelatin Free,Gums,active,fruittella-mixed-fruit-chewy-sweets-gelatin-free
Fruittella,,Fruittella Orange Chewy Sweets with Fruit Juice,Gums,active,fruittella-orange-chewy-sweets-with-fruit-juice
Fruittella,,Fruittella Strawberry Chewy Sweets Gelatin Free,Gums,active,fruittella-strawberry-chewy-sweets-gelatin-free
Fruties,,Fruties Chew Apple 12 g,Candy,active,fruties-chew-apple-12-g
Fruties,,Fruties Chew Blueberry 12 g,Candy,active,fruties-chew-blueberry-12-g
Fruties,,Fruties Chew Strawberry 12 g,Candy,active,fruties-chew-strawberry-12-g
Fruties,,Fruties Chew Tape Strawberry 12 g,Candy,active,fruties-chew-tape-strawberry-12-g
Fun,,Fun Basketball Candy Toy,Candy,active,fun-basketball-candy-toy
Funkee,,Funkee Dips Blue Raspberry Sherbet with Candy Dipstick 12g,Candy,active,funkee-dips-blue-raspberry-sherbet-with-candy-dipstick-12g
Funkee,,Funkee Dips Cherry Sherbet with Candy Dipstick 12g,Candy,active,funkee-dips-cherry-sherbet-with-candy-dipstick-12g
Funkee,,Funkee Dips Strawberry Sherbet with Candy Dipstick 12g,Candy,active,funkee-dips-strawberry-sherbet-with-candy-dipstick-12g
Funny,,Funny Faces Chewy Candy 39g,Candy,active,funny-faces-chewy-candy-39g
Funti,,Funti,Candy,active,funti
Galaxy,,Galaxy Almond Ice Cream 58g,Ice Cream,active,galaxy-almond-ice-cream-58g
Galaxy,,Galaxy Caramel 40 gm,Chocolates,active,galaxy-caramel-40-gm
Galaxy,,Galaxy Cookie Crumble 36 gm,Chocolates,active,galaxy-cookie-crumble-36-gm
Galaxy,,Galaxy Crispy 36 GM,Chocolates,active,galaxy-crispy-36-gm
Galaxy,,Galaxy Flutes 45g,Chocolates,active,galaxy-flutes-45g
Galaxy,,Galaxy Fruit & Nut 36 gm,Chocolates,active,galaxy-fruit-nut-36-gm
Galaxy,,Galaxy Hazelnut & Chocolate Ice Cream 73g,Ice Cream,active,galaxy-hazelnut-chocolate-ice-cream-73g
Galaxy,,Galaxy Hazelnut 36 gm,Chocolates,active,galaxy-hazelnut-36-gm
Galaxy,,GALAXY Ice Cream Cone 110ml,Ice Cream,active,galaxy-ice-cream-cone-110ml
Galaxy,,GALAXY Ice Cream Heart 54.6g,Ice Cream,active,galaxy-ice-cream-heart-54-6g
Galaxy,,Galaxy Minstrels Pleasure Worth Sharing 42 GM,Chocolates,active,galaxy-minstrels-pleasure-worth-sharing-42-gm
Galaxy,,Galaxy Ripple 30g,Chocolates,active,galaxy-ripple-30g
Galaxy,,Galaxy Smooth Dark 40 gm,Chocolates,active,galaxy-smooth-dark-40-gm
Galaxy,,Galaxy Smooth Milk 36 gm,Chocolates,active,galaxy-smooth-milk-36-gm
Galaxy,,Galaxy Smooth White 38 gm,Chocolates,active,galaxy-smooth-white-38-gm
Galaxy,,Galaxy Vanilla Ice Cream 50g,Ice Cream,active,galaxy-vanilla-ice-cream-50g
Galaxy,,Galaxy Vanilla Ice Cream 59g,Ice Cream,active,galaxy-vanilla-ice-cream-59g
Garlic,,Garlic Mixture – 100 g,Snacks,active,garlic-mixture-100-g
Go,,Go On Protein Cocoa Chocolate Vitamin 7 – 50 GM,Chocolates,active,go-on-protein-cocoa-chocolate-vitamin-7-50-gm
Go,,Go On Vitamin L-Carnitine Magnesium 7 Vitamins 50 GM,Chocolates,active,go-on-vitamin-l-carnitine-magnesium-7-vitamins-50-gm
Godiva,,Godiva Belgium 1926 Double Chocolate Bar 35 gm,Chocolates,active,godiva-belgium-1926-double-chocolate-bar-35-gm
Gremmers,,Gremmers Mega Sour Gum 14 g,Candy,active,gremmers-mega-sour-gum-14-g
Guava,,Guava Nectar (Contains 35% Juice) 250 ml,Juices & Fruit Drinks,active,guava-nectar-contains-35-juice-250-ml
Gum,,Gum Powder Explosively Sour Bubblegum 35g,Candy,active,gum-powder-explosively-sour-bubblegum-35g
Halabi,,HALABI Cashews 250g,Nuts & Seeds,active,halabi-cashews-250g
Halabi,,HALABI Cashews 90g,Nuts & Seeds,active,halabi-cashews-90g
Halabi,,HALABI Classic Mix 300g,Nuts & Seeds,active,halabi-classic-mix-300g
Halabi,,HALABI Coated Peanuts Kri Kri 250g,Nuts & Seeds,active,halabi-coated-peanuts-kri-kri-250g
Halabi,,HALABI Kernels Mix 300g,Nuts & Seeds,active,halabi-kernels-mix-300g
Halabi,,HALABI Kernels Mix 400g (Tin),Nuts & Seeds,active,halabi-kernels-mix-400g-tin
Halabi,,HALABI Mexican Nuts 175g,Nuts & Seeds,active,halabi-mexican-nuts-175g
Halabi,,HALABI Peanuts 250g,Nuts & Seeds,active,halabi-peanuts-250g
Halabi,,HALABI Pistachios 250g,Nuts & Seeds,active,halabi-pistachios-250g
Halabi,,HALABI Pumpkin Seeds 250g,Nuts & Seeds,active,halabi-pumpkin-seeds-250g
Halabi,,HALABI Salted Almonds 90g,Nuts & Seeds,active,halabi-salted-almonds-90g
Halabi,,HALABI Sunflower Seeds 250g,Nuts & Seeds,active,halabi-sunflower-seeds-250g
Halabi,,HALABI Super Extra Mix 300g,Nuts & Seeds,active,halabi-super-extra-mix-300g
Halabi,,HALABI Super Extra Mix 400g (Tin),Nuts & Seeds,active,halabi-super-extra-mix-400g-tin
Halabi,,HALABI Thai Mix 175g,Nuts & Seeds,active,halabi-thai-mix-175g
Halabi,,HALABI Unsalted Mix 400g (Tin),Nuts & Seeds,active,halabi-unsalted-mix-400g-tin
Halley,,Halley Milk Chocolate 26g,Chocolates,active,halley-milk-chocolate-26g
Haribo,,Haribo Berries – 80 g,Candy,active,haribo-berries-80-g
Haribo,,Haribo Chamallows Rubino Strawberry Marshmallow 70 g,Candy,active,haribo-chamallows-rubino-strawberry-marshmallow-70-g
Haribo,,Haribo Goldbears with Fruit Juice – 80 g,Candy,active,haribo-goldbears-with-fruit-juice-80-g
Haribo,,Haribo Happy Cola Fizz – 70 g,Candy,active,haribo-happy-cola-fizz-70-g
Haribo,,Haribo Mega-Roulette 45 gm,Candy,active,haribo-mega-roulette-45-gm
Haribo,,Haribo Starmix – 80 g,Candy,active,haribo-starmix-80-g
Haribo,,Haribo Teeth – 80 g,Candy,active,haribo-teeth-80-g
Haribo,,Haribo Veggy Mix – 80 g,Candy,active,haribo-veggy-mix-80-g
Haribo,,Haribo Worms – 80 g,Candy,active,haribo-worms-80-g
Hershey’S,,Hershey’s Cookie & Chocolate Ice Cream 61g,Ice Cream,active,hershey-s-cookie-chocolate-ice-cream-61g
Hershey’S,,Hershey’s Cookies & Cream Ice Cream 61g,Ice Cream,active,hershey-s-cookies-cream-ice-cream-61g
High,,High Speed Drink 250 ml,Carbonated Soft Drinks,active,high-speed-drink-250-ml
Hiss,,Hiss Crispy Wafer,Chocolates,active,hiss-crispy-wafer
Hobby,,Hobby Caramel Nougat Bar 16 g,Chocolates,active,hobby-caramel-nougat-bar-16-g
Hobby,,Hobby Chocolate Coated Wafer Bar 20 g,Chocolates,active,hobby-chocolate-coated-wafer-bar-20-g
Hot,,Hot Dog with Candy Mustard 15 ML,Candy,active,hot-dog-with-candy-mustard-15-ml
Ice,,Ice Blaster 48g,Candy,active,ice-blaster-48g
Ice,,Ice Blasterz Super Sour Cool Candy 48 g,Candy,active,ice-blasterz-super-sour-cool-candy-48-g
Ice,,Ice Cream Jam Filled Mallow 100 g,Candy,active,ice-cream-jam-filled-mallow-100-g
Ice,,Ice Cream Jam-Filled Mallow 100g,Candy,active,ice-cream-jam-filled-mallow-100g
Ice,,Ice Cream Kunafa,Ice Cream,active,ice-cream-kunafa
Ice,,Ice Pop Blue Raspberry 54g,Ice Cream,active,ice-pop-blue-raspberry-54g
ICE,,ICE QUEEN Bom Bom Ice Cream 80ml,Ice Cream,active,ice-queen-bom-bom-ice-cream-80ml
Ice,,Ice Queen Bubble Gum Ice Cream 80ml,Ice Cream,active,ice-queen-bubble-gum-ice-cream-80ml
Ice,,Ice Queen Koro Ice Cream 70ml,Ice Cream,active,ice-queen-koro-ice-cream-70ml
Iceland,,Iceland Luna Hazelnut Chocolate and Panna Cotta,Ice Cream,active,iceland-luna-hazelnut-chocolate-and-panna-cotta
Iceland,,Iceland Luna Panna Cotta Aromatic with Chocolate Topping,Ice Cream,active,iceland-luna-panna-cotta-aromatic-with-chocolate-topping
Iceland,,Iceland Vanilla Ice Cream,Ice Cream,active,iceland-vanilla-ice-cream
Igloo,,Igloo Big 3 in 1 Ice Cream 58g,Ice Cream,active,igloo-big-3-in-1-ice-cream-58g
Igloo,,IGLOO Chocobar Chocolate Stick 55ml,Ice Cream,active,igloo-chocobar-chocolate-stick-55ml
Igloo,,Igloo Hyperloop Ice Cream 68g,Ice Cream,active,igloo-hyperloop-ice-cream-68g
Igloo,,Igloo Kulfi Alphonso Mango 65ml,Ice Cream,active,igloo-kulfi-alphonso-mango-65ml
Igloo,,Igloo Kulfi Creamy Pista 65ml,Ice Cream,active,igloo-kulfi-creamy-pista-65ml
Igloo,,Igloo Kulfi Royal Kesari 65ml,Ice Cream,active,igloo-kulfi-royal-kesari-65ml
Igloo,,Igloo Push Up Semi-Milk,Ice Cream,active,igloo-push-up-semi-milk
Igloo,,Igloo Traditional Malai Kulfi Pistachio & Cashew 85g,Ice Cream,active,igloo-traditional-malai-kulfi-pistachio-cashew-85g
Igloo,,Igloo Vanilla Sandwich Evens 55g,Ice Cream,active,igloo-vanilla-sandwich-evens-55g
Ion,,Ion Supply Drink Pocari Sweat 300ml,Energy & Sports Drinks,active,ion-supply-drink-pocari-sweat-300ml
Jellopy,,Jellopy Rainbow Licorice 20g,Candy,active,jellopy-rainbow-licorice-20g
Jelly,,Jelly Cola 20g,Candy,active,jelly-cola-20g
Jordina,,Jordina Tropi 35 GM,Chocolates,draft,jordina-tropi-35-gm
Juice,,Juice Dip Candy Strawberry 20g,Candy,active,juice-dip-candy-strawberry-20g
Juicy,,Juicy Drop Pop Cola Flavour 27 g,Candy,active,juicy-drop-pop-cola-flavour-27-g
Juicy,,Juicy Drop Pop Copa 26 g,Candy,active,juicy-drop-pop-copa-26-g
Juicy,,Juicy Drop Pop Raspberry 26 g,Candy,active,juicy-drop-pop-raspberry-26-g
Jumpo,,Jumpo Roll 55 g,Bakery & Pastries,active,jumpo-roll-55-g
Karkish,,Karkish Caramelized Onion 85g,Chips & Crisps,active,karkish-caramelized-onion-85g
Karkish,,Karkish French Cheese 40g,Chips & Crisps,active,karkish-french-cheese-40g
Karkish,,Karkish Hot Chilli 40g,Chips & Crisps,active,karkish-hot-chilli-40g
Karkish,,Karkish Nacho Cheese 85g,Chips & Crisps,active,karkish-nacho-cheese-85g
Karkish,,Karkish Natural Potato Chips Barbecue Flavour 40 g,Chips & Crisps,active,karkish-natural-potato-chips-barbecue-flavour-40-g
Karkish,,Karkish Paprika 40g,Chips & Crisps,active,karkish-paprika-40g
Karkish,,Karkish Salt,Chips & Crisps,active,karkish-salt
Karkish,,Karkish Salt & Vinegar,Chips & Crisps,active,karkish-salt-vinegar
Karkish,,Karkish Salt & Vinegar 40g,Chips & Crisps,active,karkish-salt-vinegar-40g
KDD,,KDD 100% Apple Juice 180 ml,Juices & Fruit Drinks,active,kdd-100-apple-juice-180-ml
KDD,,KDD 100% Apple Juice 250 ml,Juices & Fruit Drinks,active,kdd-100-apple-juice-250-ml
KDD,,KDD 100% Orange Juice 180 ml,Juices & Fruit Drinks,active,kdd-100-orange-juice-180-ml
KDD,,KDD 100% Orange Juice 250 ml,Juices & Fruit Drinks,active,kdd-100-orange-juice-250-ml
KDD,,KDD 100% Pineapple Juice 250 ml,Juices & Fruit Drinks,active,kdd-100-pineapple-juice-250-ml
KDD,,KDD Apple Juice 125 ml,Juices & Fruit Drinks,active,kdd-apple-juice-125-ml
KDD,,KDD Blitz Vanilla Ice Cream with Raspberry 62.5g,Ice Cream,draft,kdd-blitz-vanilla-ice-cream-with-raspberry-62-5g
KDD,,KDD Caffè Latte Coffee with Milk 250 ml,Carbonated Soft Drinks,draft,kdd-caff-latte-coffee-with-milk-250-ml
KDD,,KDD Caramel Macchiato Coffee with Milk 250 ml,Carbonated Soft Drinks,draft,kdd-caramel-macchiato-coffee-with-milk-250-ml
KDD,,KDD Cherry Drink 250 ml,Juices & Fruit Drinks,active,kdd-cherry-drink-250-ml
KDD,,KDD Choco Rico Ice Cream 62.5g,Ice Cream,active,kdd-choco-rico-ice-cream-62-5g
KDD,,KDD Chocolate Ice Cream 100g,Ice Cream,active,kdd-chocolate-ice-cream-100g
KDD,,KDD Chocolate Ice Cream Silver Cones 100ml,Ice Cream,active,kdd-chocolate-ice-cream-silver-cones-100ml
KDD,,KDD Chocolate Milk Enriched with Vitamins A & D 125 ml,Juices & Fruit Drinks,active,kdd-chocolate-milk-enriched-with-vitamins-a-d-125-ml
KDD,,KDD Cocktail Fruit Drink 125 ml,Juices & Fruit Drinks,active,kdd-cocktail-fruit-drink-125-ml
KDD,,KDD Cocktail Fruit Drink 180 ml,Juices & Fruit Drinks,active,kdd-cocktail-fruit-drink-180-ml
KDD,,KDD Cocktail Fruit Drink 250ml,Juices & Fruit Drinks,active,kdd-cocktail-fruit-drink-250ml
KDD,,KDD Guava Nectar 180 ml,Juices & Fruit Drinks,active,kdd-guava-nectar-180-ml
KDD,,KDD Guava Nectar 250 ml,Juices & Fruit Drinks,active,kdd-guava-nectar-250-ml
KDD,,KDD Iced Mocha Coffee with Chocolate Milk 250 ml,Carbonated Soft Drinks,draft,kdd-iced-mocha-coffee-with-chocolate-milk-250-ml
KDD,,KDD Lulu Ice Cream – Chocolate & Nougat 100ml,Ice Cream,active,kdd-lulu-ice-cream-chocolate-nougat-100ml
KDD,,KDD Mango Nectar 125 ml,Juices & Fruit Drinks,active,kdd-mango-nectar-125-ml
KDD,,KDD Mango Nectar 250 ml,Juices & Fruit Drinks,active,kdd-mango-nectar-250-ml
KDD,,KDD Orange Ice Cream Lollies 62.5ml,Ice Cream,active,kdd-orange-ice-cream-lollies-62-5ml
KDD,,KDD Orange Lolly Water Ice 62.5g,Ice Cream,active,kdd-orange-lolly-water-ice-62-5g
KDD,,KDD Orange with Grape Juice 125 ml,Juices & Fruit Drinks,active,kdd-orange-with-grape-juice-125-ml
KDD,,KDD Peach Nectar 250 ml,Juices & Fruit Drinks,active,kdd-peach-nectar-250-ml
KDD,,KDD Strawberry Ice Cream 100g,Ice Cream,active,kdd-strawberry-ice-cream-100g
KDD,,KDD Vanilla Almond Ice Cream 95g,Ice Cream,active,kdd-vanilla-almond-ice-cream-95g
KDD,,KDD Vanilla Ice Cream 100g,Ice Cream,active,kdd-vanilla-ice-cream-100g
KDD,,KDD Vanilla Ice Cream Biscuit Sandwich 77ml,Ice Cream,active,kdd-vanilla-ice-cream-biscuit-sandwich-77ml
KDD,,KDD Vanilla Ice Cream Gold Cone 100cc,Ice Cream,active,kdd-vanilla-ice-cream-gold-cone-100cc
Kiddy,,Kiddy Toys Rubber Chicken Toy,Candy,active,kiddy-toys-rubber-chicken-toy
Kifco,,Kifco Plain Rusks 385g,Bakery & Pastries,active,kifco-plain-rusks-385g
Kinder,,Kinder Bueno Chocolate Bar 43 g,Chocolates,active,kinder-bueno-chocolate-bar-43-g
Kinder,,Kinder Bueno Ice Cream 62g,Ice Cream,active,kinder-bueno-ice-cream-62g
Kinder,,Kinder Bueno White 3.5g,Chocolates,active,kinder-bueno-white-3-5g
Kinder,,Kinder Cards 25.6g,Chocolates,active,kinder-cards-25-6g
Kinder,,Kinder Chocolate 4 Bars 50g,Chocolates,active,kinder-chocolate-4-bars-50g
Kinder,,Kinder Maxi 21g,Chocolates,active,kinder-maxi-21g
Kinza,,Kinza Blackcurrant 250ml,Carbonated Soft Drinks,active,kinza-blackcurrant-250ml
Kinza,,Kinza Citrus 250ml,Carbonated Soft Drinks,active,kinza-citrus-250ml
Kinza,,Kinza Cola 250ml,Carbonated Soft Drinks,active,kinza-cola-250ml
Kinza,,Kinza Diet Cola 250ml,Carbonated Soft Drinks,active,kinza-diet-cola-250ml
Kinza,,Kinza Lemon 250ml,Carbonated Soft Drinks,active,kinza-lemon-250ml
Kinza,,Kinza Lemon Zero Sugar 250ml,Carbonated Soft Drinks,active,kinza-lemon-zero-sugar-250ml
Kinza,,Kinza Orange 250ml,Carbonated Soft Drinks,active,kinza-orange-250ml
Kinza,,Kinza Pomegranate 250ml,Carbonated Soft Drinks,active,kinza-pomegranate-250ml
Kiokpop,,Kiokpop Candy Orange 5G,Candy,active,kiokpop-candy-orange-5g
Kitco,,KITCO Nice Chicken Flavor Chips 16g,Chips & Crisps,active,kitco-nice-chicken-flavor-chips-16g
Kitco,,KITCO Nice Chips Chicken Flavor Pack 20 × 16g,Chips & Crisps,active,kitco-nice-chips-chicken-flavor-pack-20-16g
Kitco,,KITCO Nice Chips Chilly 16g × 20,Chips & Crisps,active,kitco-nice-chips-chilly-16g-20
