guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Almarai,,Almarai Mixed Apple Juice 200ml,Juices & Fruit Drinks,active,almarai-mixed-apple-juice-200ml
Almarai,,Almarai Mixed Berry Juice 200ml,Juices & Fruit Drinks,active,almarai-mixed-berry-juice-200ml
Almarai,,Almarai Mixed Berry Nectar 1.4L,Juices & Fruit Drinks,draft,almarai-mixed-berry-nectar-1-4l
Almarai,,Almarai Mixed Fruit Juice 200ml,Juices & Fruit Drinks,active,almarai-mixed-fruit-juice-200ml
Almarai,,Almarai Mixed Fruit Nectar 1.4L,Juices & Fruit Drinks,draft,almarai-mixed-fruit-nectar-1-4l
Almarai,,Almarai Mixed Orange Juice 200ml,Juices & Fruit Drinks,active,almarai-mixed-orange-juice-200ml
Alvita,,Alvita Banana Wafer,Chocolates,active,alvita-banana-wafer
Alvita,,Alvita Orange Wafer,Chocolates,active,alvita-orange-wafer
Amwaj,,Amwaj Mineral Water 1.5L x 6,Water,active,amwaj-mineral-water-1-5l-x-6
Amwaj,,Amwaj Mineral Water 330ml x 30,Water,active,amwaj-mineral-water-330ml-x-30
Anquria,,Anquria Melon Ice Cream 70ml,Ice Cream,active,anquria-melon-ice-cream-70ml
Anquria,,Anquria Watermelon Ice Cream 70ml,Ice Cream,active,anquria-watermelon-ice-cream-70ml
Apple,,Apple Fruity Ice,Ice Cream,draft,apple-fruity-ice
Arwa,,Arwa Water 12pcs,Water,active,arwa-water-12pcs
Astor,,Astor Mini Stick 20 GM,Chocolates,active,astor-mini-stick-20-gm
Avita,,Avita Strawberry Wafe 23 g,Chocolates,active,avita-strawberry-wafe-23-g
Baladna,,Baladna Apple Nectar 1.5L,Juices & Fruit Drinks,draft,baladna-apple-nectar-1-5l
Baladna,,Baladna Apple Nectar Refreshing Delight 200ml,Juices & Fruit Drinks,draft,baladna-apple-nectar-refreshing-delight-200ml
Baladna,,Baladna Lemon & Mint Drink 1.5L,Juices & Fruit Drinks,draft,baladna-lemon-mint-drink-1-5l
Baladna,,Baladna Mango Nectar Tropical Indulgence 200ml,Juices & Fruit Drinks,draft,baladna-mango-nectar-tropical-indulgence-200ml
Baladna,,Baladna Orange Nectar 1.5L,Juices & Fruit Drinks,draft,baladna-orange-nectar-1-5l
Baladna,,Baladna Orange Nectar Refreshing Delight 200ml,Juices & Fruit Drinks,draft,baladna-orange-nectar-refreshing-delight-200ml
Balaji,,Balaji Chataka Pataka Spicy Rice & Corn Snacks 75g,Chips & Crisps,active,balaji-chataka-pataka-spicy-rice-corn-snacks-75g
Balaji,,Balaji Crunchem Simply Salted 155g,Chips & Crisps,active,balaji-crunchem-simply-salted-155g
Balaji,,Balaji Wafers Chataka Pataka Chilli Flavour 65g,Chips & Crisps,active,balaji-wafers-chataka-pataka-chilli-flavour-65g
Balaji,,Balaji Wafers Chataka Pataka Tomato Flavour 65g,Chips & Crisps,active,balaji-wafers-chataka-pataka-tomato-flavour-65g
Balaji,,Balaji Wafers Crunchem Chaat Chaska 135g,Chips & Crisps,active,balaji-wafers-crunchem-chaat-chaska-135g
Balou,,Balou Balou Vanilla Ice Cream 69g,Ice Cream,active,balou-balou-vanilla-ice-cream-69g
Bamboo,,Bamboo Strawberry Push Up,Ice Cream,active,bamboo-strawberry-push-up
Barakat,,Barakat Juice Pop Beetroot Berry 50ml,Ice Cream,active,barakat-juice-pop-beetroot-berry-50ml
